epoch,accuracy,train_accuracy
0,0.5852190852165222,0.6154353618621826
1,0.6719201803207397,0.7839570045471191
2,0.7394530177116394,0.8307096362113953
3,0.7810907959938049,0.8537513017654419
4,0.7988215088844299,0.8673132061958313
5,0.8209537863731384,0.8762097954750061
6,0.8196049332618713,0.882753849029541
7,0.8430505990982056,0.8882375955581665
8,0.8372291326522827,0.8925020098686218
9,0.8526702523231506,0.8952455520629883
10,0.8630530834197998,0.8981878757476807
11,0.8658396005630493,0.9010175466537476
12,0.8695135116577148,0.9025417566299438
13,0.8702412247657776,0.9053614735603333
14,0.8768081068992615,0.9067431688308716
15,0.8708091378211975,0.9081911444664001
16,0.8797721266746521,0.909685492515564
17,0.8814226984977722,0.9113588333129883
18,0.8797721266746521,0.9124986529350281
19,0.8771985769271851,0.9136550426483154
20,0.8818841576576233,0.9151825308799744
21,0.8875104188919067,0.915553629398346
22,0.8900484442710876,0.9165741801261902
23,0.8859663009643555,0.9174588322639465
24,0.8897822499275208,0.918171226978302
25,0.8967573642730713,0.9189698100090027
26,0.8914505839347839,0.9199075102806091
27,0.8951244950294495,0.9210208058357239
28,0.8940773606300354,0.9210208058357239
29,0.8960829377174377,0.9217861890792847
30,0.898212730884552,0.9224256873130798
31,0.8945388197898865,0.9231281280517578
32,0.8888770341873169,0.9233335852622986
33,0.8917878270149231,0.9243077635765076
34,0.8998100757598877,0.9244667887687683
35,0.8982304930686951,0.9254939556121826
36,0.9008217453956604,0.9252222776412964
37,0.8993486166000366,0.9256231784820557
38,0.9036792516708374,0.9266801476478577
39,0.9009460210800171,0.926902174949646
40,0.8991888761520386,0.9271672368049622
41,0.904957115650177,0.9270777702331543
42,0.9057202935218811,0.9279690980911255
43,0.901957631111145,0.9289167523384094
44,0.9058800339698792,0.928307056427002
45,0.9014784693717957,0.9290823936462402
46,0.9090037941932678,0.9295992851257324
47,0.9078679084777832,0.9296258091926575
48,0.9100331664085388,0.9298014044761658
49,0.9046376943588257,0.9303779602050781
50,0.9059155583381653,0.9304077625274658
51,0.9083116054534912,0.9308053851127625
52,0.9078501462936401,0.9311665892601013
53,0.9088440537452698,0.9311599135398865
54,0.9069804549217224,0.9315277338027954
55,0.9101041555404663,0.9320843815803528
56,0.9143283367156982,0.9321838021278381
57,0.9092345237731934,0.9324322938919067
58,0.9113110899925232,0.9325416684150696
59,0.9138491153717041,0.9323825836181641
60,0.917132556438446,0.9332142472267151
61,0.9161208868026733,0.9332109689712524
62,0.9160144329071045,0.9331480264663696
63,0.9102994203567505,0.9336980581283569
64,0.9112755656242371,0.933807373046875
65,0.9169018268585205,0.9341586232185364
66,0.9133521318435669,0.9341221451759338
67,0.9145057797431946,0.9345628619194031
68,0.9147365093231201,0.9342381358146667
69,0.9137603640556335,0.9347119331359863
70,0.9194753766059875,0.9347484111785889
71,0.919528603553772,0.9349803328514099
72,0.9198658466339111,0.9353050589561462
73,0.9199013113975525,0.9351393580436707
74,0.9199013113975525,0.9356198310852051
75,0.9215341806411743,0.9356993436813354
76,0.9228830337524414,0.9356364011764526
77,0.914115309715271,0.9357026815414429
78,0.9173632860183716,0.9361168742179871
79,0.9259002804756165,0.9360737800598145
80,0.9167598485946655,0.9362394213676453
81,0.9217293858528137,0.936212956905365
82,0.9228830337524414,0.9363520741462708
83,0.9230427742004395,0.9366171956062317
84,0.9204870462417603,0.9365807175636292
85,0.9210017323493958,0.9368822574615479
86,0.9212146997451782,0.9367298483848572
87,0.9233977794647217,0.9370147585868835
88,0.920114278793335,0.9370015263557434
89,0.9181974530220032,0.9373130202293396
90,0.9217649102210999,0.9368988275527954
91,0.9203805327415466,0.9377536773681641
92,0.9203450083732605,0.93739253282547
93,0.9173455238342285,0.9376741647720337
94,0.9181264638900757,0.9379491806030273
95,0.9247111678123474,0.9379624128341675
96,0.9224393367767334,0.9379359483718872
97,0.9219068884849548,0.9382705688476562
98,0.9224925637245178,0.9381347298622131
99,0.919990062713623,0.9381115436553955
