epoch,val_accuracy,train_accuracy,loss,val_loss
0,0.8876137143697036,0.9306388951652937,3.442989512039754,3.2649121284484863
1,0.8254504346801181,0.7420275953383427,2.482897280838073,2.8932251930236816
2,0.729817318310172,0.6585348981982746,2.268397650926244,2.7958216667175293
3,0.7111753737122184,0.6151446859364079,2.132125822954625,2.6661577224731445
4,0.6981893528151117,0.5851330538757077,2.0319229820611584,2.4879307746887207
5,0.6623771185009107,0.560940525352953,1.9510937177103882,2.5044453144073486
6,0.6726404446617752,0.5404492954910256,1.8806697229263538,2.3927853107452393
7,0.6290751518467024,0.5243491791724153,1.820003642949632,2.4670114517211914
8,0.624460221472037,0.5112081649549597,1.764361541509763,2.5981547832489014
9,0.6569307589042488,0.49812213443830117,1.711163849396649,2.2577359676361084
10,0.6361311319149571,0.4881938820084326,1.6721390607061866,2.3300516605377197
11,0.6058409399387431,0.47661957143576317,1.6277219752526808,2.402477741241455
12,0.5788455999028529,0.4669391905861822,1.5913369163003193,2.169816017150879
13,0.6069638799947017,0.4553519174458649,1.5483947329227368,2.2009496688842773
14,0.5984048778527925,0.445692247872627,1.512506519083656,2.520843029022217
15,0.6142463561360405,0.4376083038317647,1.481653131894165,2.4553442001342773
16,0.5805074164867083,0.4301208490962983,1.4537633567829467,2.1085729598999023
17,0.5678278798414642,0.4221517007359582,1.4241866311358489,2.3071601390838623
18,0.5512531986452371,0.41509838273585975,1.3962856839780016,2.2852957248687744
19,0.5440059489998307,0.4106550435992757,1.3817101350404772,2.0376453399658203
20,0.6601595341489708,0.4033152967996569,1.3539074856794238,2.8961009979248047
21,0.5707898954914875,0.39766699335580163,1.3347409373289316,2.1604251861572266
22,0.5326256142993375,0.39176369262826294,1.3149498668749364,2.107499837875366
23,0.5601085565857894,0.38649004977009666,1.2950479342750132,2.1374776363372803
24,0.5601190257020741,0.38126756887503366,1.2775451806792437,2.143831491470337
25,0.5445655712227184,0.37608662357723377,1.2595403082563488,2.0034050941467285
26,0.5327027186575187,0.3721693970942587,1.2447500831330138,2.3339521884918213
27,0.7299130195695969,0.3673833242597596,1.2281024966824856,4.102609634399414
28,0.5324360452219095,0.36507346483071484,1.2195570981051034,2.3002939224243164
29,0.534105118207283,0.3605976026142132,1.2037789342833347,2.029898166656494
30,0.532394858312321,0.35742195719833325,1.1921751235015248,2.2659196853637695
31,0.6542764961467423,0.3551508669744783,1.184617025323882,2.698920249938965
32,0.623441346677576,0.3515324574181848,1.1715172953090809,2.4607672691345215
33,0.5718649062232094,0.34840935714616816,1.1599190023202826,2.289512872695923
34,0.512277208760747,0.3460410054711186,1.1504058212193478,1.9460588693618774
35,0.6179152965345442,0.34331680764559747,1.1410183736737534,2.7922542095184326
36,0.5823449008411076,0.34082719291941027,1.1334784195677852,2.412820339202881
37,0.6276482273248134,0.3389042008864303,1.126835383487462,2.673332929611206
38,0.6154508884131714,0.3366200657537843,1.1184420121329326,2.5548887252807617
39,0.534994183496436,0.3335568611716977,1.106346884711844,2.138127565383911
40,0.6757445364993291,0.3308868154922314,1.0971228041643473,2.939227342605591
41,0.6523022273484934,0.32936048728020134,1.0907226839666653,3.33699631690979
42,0.6070782806492628,0.3268391758235477,1.0824181672676327,2.5178539752960205
43,0.5465607989756958,0.3257030208737471,1.0787101045309857,2.231767177581787
44,0.7758457213914606,0.3237467641698016,1.0711534317433329,3.802795171737671
45,0.7388066870667476,0.32149629247637695,1.0639853896968037,3.6732616424560547
46,0.695899624704412,0.3191730606517683,1.055426905153834,3.470433473587036
47,0.7328442688130125,0.31770387209078305,1.0503292297023108,3.8992278575897217
48,0.736599632540705,0.3165479402356014,1.0460021551751093,4.438616752624512
49,0.6519151871258757,0.3156435028514934,1.0434015921578697,2.8716530799865723
50,0.5963106603507615,0.3144460557607745,1.0384498009781435,2.818784713745117
51,0.6777891605590212,0.31346503677469817,1.0353068819215838,2.9553890228271484
